,id,calculated_group
341,1547728,horizontal
342,1531347,horizontal
343,1320414,horizontal
344,1433055,pos_n
345,1529318,neg_st
346,1390055,pos_st
347,1508841,neg_st
348,1277420,horizontal
349,1449467,pos_n
350,1547774,horizontal
351,1334784,horizontal
352,1547784,horizontal
353,1328649,pos_fl
354,1420819,horizontal
355,1383960,horizontal
356,1318425,neg_fl
357,1439265,horizontal
358,1277477,horizontal
359,1437227,pos_fl
360,1498677,horizontal
361,1287736,pos_n
362,1386041,horizontal
363,1531458,horizontal
364,1517128,horizontal
365,1482313,horizontal
366,1384012,neg_fl
367,1373775,horizontal
368,1392215,horizontal
369,1476186,neg_st
370,1465947,pos_st
371,1381980,horizontal
372,1281630,pos_st
373,1480286,horizontal
374,1261153,pos_st
375,1265250,horizontal
376,1300080,neg_st
377,1304182,horizontal
378,1488502,neg_fl
379,1527415,horizontal
380,1271423,horizontal
381,1257087,pos_n
382,1498759,pos_st
383,1408648,pos_n
384,1476233,horizontal
385,1257098,horizontal
386,1511049,horizontal
387,1394320,horizontal
388,1472149,horizontal
389,1355415,horizontal
390,1371801,horizontal
391,1478302,horizontal
392,1332896,horizontal
393,1476256,horizontal
394,1478312,horizontal
395,1527466,horizontal
396,1283760,horizontal
397,1291964,horizontal
398,1470148,pos_n
399,1449674,horizontal
400,1300171,pos_n
401,1464014,pos_n
402,1283791,pos_n
403,1291987,pos_st
404,1425110,horizontal
405,1539799,horizontal
406,1447642,horizontal
407,1431259,horizontal
408,1291998,pos_n
409,1388262,pos_n
410,1390312,pos_st
411,1423098,neg_fl
412,1423100,horizontal
413,1363711,horizontal
414,1275657,horizontal
415,1273630,neg_st
416,1443614,horizontal
417,1357600,horizontal
418,1388329,horizontal
419,1281841,pos_fl
420,1296189,horizontal
421,1369926,neg_st
422,1322823,horizontal
423,1275723,pos_fl
424,1455948,pos_n
425,1288014,horizontal
426,1435472,horizontal
427,1470291,pos_fl
428,1515353,horizontal
429,1275739,horizontal
430,1427297,horizontal
431,1490785,pos_n
432,1269611,horizontal
433,1482606,horizontal
434,1462142,horizontal
435,1308553,pos_n
436,1361804,horizontal
437,1283983,horizontal
438,1302420,horizontal
439,1460117,horizontal
440,1546150,horizontal
441,1343404,horizontal
442,1372083,horizontal
443,1288123,pos_n
444,1421254,pos_n
445,1355720,horizontal
446,1478603,horizontal
447,1310668,horizontal
448,1396689,horizontal
449,1441747,pos_n
450,1349593,pos_fl
451,1517530,horizontal
452,1331166,pos_st
453,1519586,horizontal
454,1286117,neg_fl
455,1255402,horizontal
456,1351670,horizontal
457,1529846,horizontal
458,1531898,horizontal
459,1427451,horizontal
460,1302526,horizontal
461,1398783,pos_fl
